DistrictID,Name,Population,LandArea,PostalCodes
1,Innere Stadt,3446,1.16,8010
2,St. Leonhard,15075,1.83,8010|8047
3,Geidorf,24301,5.5,8010|8036|8043
4,Lend,31711,3.7,8020|8051
5,Gries,30352,5.05,8020|8053|8055
6,Jakomini,31908,4.06,8010|8041|8042
7,Liebenau,15768,7.99,8010|8041|8042|8074
8,St. Peter,16384,8.86,8010|8041|8042|8051|8074
9,Waltendorf,12124,4.48,8010|8042|8047
10,Ries,6053,10.16,8010|8036|8044|8047
11,Mariatrost,9692,13.99,8010|8043|8044
12,Andritz,19592,18.47,8010|8043|8044|8045|8046
13,Gösting,11270,10.83,8051|8052
14,Eggenberg,22062,7.79,8020|8051|8052|8053
15,Wetzelsdorf,16800,5.77,8020|8052|8053
16,Straßgang,18779,11.75,8020|8052|8053|8054|8055
17,Puntigam,10107,6.18,8020|8054|8055|8073
